Java HotSpot(TM) 64-Bit Server VM (25.111-b14) for windows-amd64 JRE (1.8.0_111-b14), built on Sep 22 2016 19:24:05 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 15674836k(11331508k free), swap 16657876k(11949664k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.106: [GC (Allocation Failure) 0.107: [DefNew: 896K->64K(960K), 0.0013505 secs] 1025K->811K(524224K), 0.0014985 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.115: [GC (Allocation Failure) 0.115: [DefNew: 960K->64K(960K), 0.0009197 secs] 1762K->1638K(524224K), 0.0009748 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.119: [GC (Allocation Failure) 0.119: [DefNew: 960K->63K(960K), 0.0008433 secs] 2579K->2422K(524224K), 0.0008909 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.123: [GC (Allocation Failure) 0.123: [DefNew: 959K->63K(960K), 0.0007547 secs] 3318K->3041K(524224K), 0.0007892 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.129: [GC (Allocation Failure) 0.129: [DefNew: 959K->63K(960K), 0.0016485 secs] 3940K->3911K(524224K), 0.0017340 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.137: [GC (Allocation Failure) 0.137: [DefNew: 959K->63K(960K), 0.0016402 secs] 4895K->4774K(524224K), 0.0017234 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.142: [GC (Allocation Failure) 0.142: [DefNew: 959K->64K(960K), 0.0020088 secs] 5670K->5649K(524224K), 0.0020890 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.147: [GC (Allocation Failure) 0.147: [DefNew: 960K->63K(960K), 0.0014760 secs] 6569K->6485K(524224K), 0.0015604 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.150: [GC (Allocation Failure) 0.150: [DefNew: 959K->63K(960K), 0.0016887 secs] 7413K->7252K(524224K), 0.0017756 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.157: [GC (Allocation Failure) 0.157: [DefNew: 959K->64K(960K), 0.0020944 secs] 8276K->8210K(524224K), 0.0021770 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.161: [GC (Allocation Failure) 0.161: [DefNew: 960K->64K(960K), 0.0011170 secs] 9122K->8913K(524224K), 0.0011698 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
